Athlete,Date,Time,Location,Distance,Nationality
Basil Heatley,1964-06-13,8035,Polytechnic Marathon,Marathon,United Kingdom
Leonard Edelen,1963-06-15,8068,Polytechnic Marathon,Marathon,United States
Brian Kilby,1963-07-06,8083,"Port Talbot, Wales",Marathon,United Kingdom
Toru Terasawa,1963-02-17,8115.8,Beppu-Ōita Marathon,Marathon,Japan
Abebe Bikila,1960-09-10,8116.2,"Rome, Italy",Marathon,Ethiopia
Sergei Popov,1958-08-24,8117,"Stockholm, Sweden",Marathon,Soviet Union
Jim Peters,1954-06-26,8259.4,Polytechnic Marathon,Marathon,United Kingdom
Paavo Kotila,1956-08-12,8284.8,"Pieksämäki, Finland",Marathon,Finland
Jim Peters,1953-10-04,8314.8,Turku Marathon,Marathon,United Kingdom
Jim Peters,1953-06-13,8320.4,Polytechnic Marathon,Marathon,United Kingdom
Jim Peters,1952-06-14,8442.2,Polytechnic Marathon,Marathon,United Kingdom
Suh Yun-bok,1947-04-19,8739,Boston Marathon,Marathon,Korea
Sohn Kee-chung,1935-03-21,8774,"Tokyo, Japan",Marathon,Japanese Korea
Sohn Kee-chung,1935-11-03,8802,"Tokyo, Japan",Marathon,Japanese Korea
Yasuo Ikenaka,1935-04-03,8804,"Tokyo, Japan",Marathon,Japan
Fusashige Suzuki,1935-03-31,8869,"Tokyo, Japan",Marathon,Japan
Albert Michelsen,1925-10-12,8941.8,"Port Chester, United States",Marathon,United States
Harry Payne,1929-07-05,9057.6,London,Marathon,United Kingdom
Hannes Kolehmainen,1920-08-22,9155.8,"Antwerp, Belgium",Marathon,Finland
Alexis Ahlgren,1913-05-31,9366.6,Polytechnic Marathon,Marathon,Sweden
Umberto Blasi,1914-11-29,9480.8,"Legnano, Italy",Marathon,Italy
Harry Green,1913-05-12,9496.2,Polytechnic Marathon,Marathon,United Kingdom
Thure Johansson,1909-08-31,9634.2,"Stockholm, Sweden",Marathon,Sweden
Henry Barrett,1909-05-26,9751,"Polytechnic Marathon, London, United Kingdom",Marathon,United Kingdom
Albert Raines,1909-05-08,9964.6,"New York City, United States",Marathon,United States
James Clark,1909-02-12,10012.8,"New York City, United States",Marathon,United States
Robert Fowler,1909-01-01,10365.4,United States,Marathon,United States
Johnny Hayes,1908-07-24,10518.4,"London, United Kingdom",Marathon,United States
